Region,Township,Village Tract/ Ward,Postal Code,VT_Pcode,Ward_Pcode,Pcode_Status
Nay Pyi Taw ,Za Bu Thi Ri ,Zay Ya Theik Di ,1501001,,MMR018002701501,Found
Nay Pyi Taw ,Za Bu Thi Ri ,Pyin Nyar Theik Di ,1501002,,MMR018002701502,Found
Nay Pyi Taw ,Za Bu Thi Ri ,Min Ga Lar Theik Di ,1501003,,MMR018002701503,Found
Nay Pyi Taw ,Za Bu Thi Ri ,Baw Ga Theik Di ,1501004,,MMR018002701504,Found
Nay Pyi Taw ,Za Bu Thi Ri ,Tha Pyay Kone ,1501005,,MMR018002701505,Found
Nay Pyi Taw ,Za Bu Thi Ri ,Wun Na Theik Di ,1501006,,MMR018002701506,Found
Nay Pyi Taw ,Za Bu Thi Ri ,Thu Kha Theik Di ,1501007,,MMR018002701507,Found
Nay Pyi Taw ,Za Bu Thi Ri ,Nyar Na Theik Di ,1501008,,MMR018002701508,Found
Nay Pyi Taw ,Za Bu Thi Ri ,Ba La Theik Di ,1501009,,MMR018002701509,Found
Nay Pyi Taw ,Za Bu Thi Ri ,Dha Na Theik Di ,1501010,,MMR018002701510,Found
Nay Pyi Taw ,Za Bu Thi Ri ,Shwe Kyar Pin ,1501011,,MMR018002701511,Found
Nay Pyi Taw ,Za Bu Thi Ri ,Aung Zabu ,1501012,,MMR018002701512,Found
Nay Pyi Taw ,Za Bu Thi Ri ,Te Gyi Kone ,1501200,MMR018002001,,Found
Nay Pyi Taw ,Za Bu Thi Ri ,Ah Hlyin Lo ,1501201,MMR018002002,,Found
Nay Pyi Taw ,Za Bu Thi Ri ,Pyant Ka Pyay ,1501202,MMR018002003,,Found
Nay Pyi Taw ,Pyinmana ,Ywar Kauk ,1502001,,MMR018006701501,Found
Nay Pyi Taw ,Pyinmana ,Yan Aung (1) ,1502002,,MMR018006701502,Found
Nay Pyi Taw ,Pyinmana ,Yan Aung (2) ,1502003,,MMR018006701503,Found
Nay Pyi Taw ,Pyinmana ,Shwe Chi ,1502004,,MMR018006701504,Found
Nay Pyi Taw ,Pyinmana ,Min Ga Lar ,1502005,,MMR018006701505,Found
Nay Pyi Taw ,Pyinmana ,Baw Ga Wa Di ,1502006,,MMR018006701506,Found
Nay Pyi Taw ,Pyinmana ,U Yin Su ,1502007,MMR018006022,MMR018006701507,Found
Nay Pyi Taw ,Pyinmana ,Kin Pun Tan ,1502200,MMR018006001,,Found
Nay Pyi Taw ,Pyinmana ,Kan U ,1502201,MMR018006002,,Found
Nay Pyi Taw ,Pyinmana ,Ku Toet Seik ,1502202,MMR018006003,,Found
Nay Pyi Taw ,Pyinmana ,Kyee Inn ,1502203,MMR018006004,,Found
Nay Pyi Taw ,Pyinmana ,Nga Kaung Kan ,1502204,MMR018006005,,Found
Nay Pyi Taw ,Pyinmana ,Kyun Oo ,1502205,MMR018006006,,Found
Nay Pyi Taw ,Pyinmana ,Sin Thay ,1502206,MMR018006007,,Found
Nay Pyi Taw ,Pyinmana ,Zee Hpyu Pin ,1502207,MMR018006008,,Found
Nay Pyi Taw ,Pyinmana ,Nyaung Pin Thar ,1502208,MMR018006009,,Found
Nay Pyi Taw ,Pyinmana ,Taung Thar ,1502209,MMR018006010,,Found
Nay Pyi Taw ,Pyinmana ,Hnan Taw ,1502210,MMR018006011,,Found
Nay Pyi Taw ,Pyinmana ,Nat Tha Ye ,1502211,MMR018006012,,Found
Nay Pyi Taw ,Pyinmana ,Pyu Twin ,1502212,MMR018006013,,Found
Nay Pyi Taw ,Pyinmana ,Pyin Ma Nar Haung ,1502213,MMR018006014,,Found
Nay Pyi Taw ,Pyinmana ,Yauk Thwar Inn ,1502214,MMR018006015,,Found
Nay Pyi Taw ,Pyinmana ,Ywar Thar ,1502215,MMR018006016,,Found
Nay Pyi Taw ,Pyinmana ,Ywar Thit ,1502216,MMR018006017,,Found
Nay Pyi Taw ,Pyinmana ,Le Lu Aing ,1502217,MMR018006018,,Found
Nay Pyi Taw ,Pyinmana ,Thit Lay Lone ,1502218,MMR018006019,,Found
Nay Pyi Taw ,Pyinmana ,Tha Nat Pin Seik ,1502219,MMR018006020,,Found
Nay Pyi Taw ,Pyinmana ,Mei Za Li Kone ,1502220,MMR018006021,,Found
Nay Pyi Taw ,Pyinmana ,U Yin Su ,1502221,MMR018006022,MMR018006701507,Found
Nay Pyi Taw ,Pyinmana ,Koe Tit ,1502222,MMR018006023,,Found
